ID,Speed,Trajectory,Status,Frame_Range
1,"[29.9, 29.9, 29.9, 9.0, 9.0, 46.1, 46.1, 42.0, 42.0, 47.4, 47.4, 47.8, 47.8, 53.8, 53.8, 31.1]","[(270, 370), (260, 377), (251, 381), (240, 384), (237, 384), (218, 390), (203, 395), (189, 401), (175, 406), (161, 412), (145, 419), (128, 425), (111, 432), (90, 440), (70, 449), (58, 457), (48, 466)]",3,"(0, 18)"
3,"[21.2, 21.2, 21.2, 23.8, 23.8, 29.3, 29.3, 24.8, 24.8, 27.8]","[(452, 360), (447, 364), (441, 367), (435, 375), (429, 380), (422, 384), (413, 388), (404, 394), (397, 399), (389, 405), (381, 411)]",3,"(5, 11)"
11,"[44.0, 44.0, 44.0, 37.3, 37.3, 36.3, 36.3, 32.8, 32.8, 29.8, 29.8, 27.8, 27.8, 23.3, 23.3, 22.3, 22.3, 21.4, 21.4, 15.2, 15.2, 26.8, 26.8, 18.8]","[(929, 598), (910, 575), (894, 552), (880, 531), (867, 516), (856, 503), (846, 489), (836, 477), (827, 466), (819, 456), (811, 447), (806, 438), (799, 430), (794, 421), (788, 415), (783, 408), (778, 402), (775, 396), (771, 390), (766, 386), (763, 382), (760, 378), (757, 370), (753, 365), (750, 360)]",3,"(12, 42)"
18,"[26.9, 26.9, 26.9, 44.0, 44.0, 47.2, 47.2, 45.2, 45.2, 39.3, 39.3, 37.8, 37.8, 34.9, 34.9, 32.7, 32.7, 29.6, 29.6, 30.4]","[(1222, 467), (1213, 460), (1200, 451), (1185, 442), (1167, 436), (1150, 430), (1133, 424), (1118, 417), (1103, 411), (1090, 406), (1077, 401), (1065, 396), (1054, 392), (1043, 388), (1033, 385), (1023, 381), (1014, 375), (1006, 370), (998, 365), (989, 362)]",3,"(13, 39)"
20,"[21.4, 21.4, 21.4, 22.5, 22.5, 25.6, 25.6, 26.3, 26.3, 27.1, 27.1, 32.4, 32.4, 35.9, 35.9, 40.2, 40.2, 45.3, 45.3, 49.0, 49.0]","[(422, 361), (416, 364), (411, 367), (405, 371), (398, 377), (392, 383), (385, 388), (377, 392), (369, 395), (361, 400), (352, 405), (342, 411), (333, 417), (321, 423), (309, 430), (296, 439), (281, 448), (266, 460), (250, 469), (231, 481), (212, 494)]",3,"(32, 42)"
29,"[30.9, 30.9, 30.9, 37.3, 37.3, 35.7, 35.7, 37.3, 37.3, 39.7, 39.7, 44.8, 44.8, 49.2, 49.2, 58.1, 58.1, 31.9, 31.9, 26.6, 26.6]","[(311, 362), (302, 365), (293, 369), (285, 372), (275, 379), (265, 386), (254, 391), (243, 396), (231, 401), (218, 406), (205, 412), (190, 420), (175, 428), (159, 436), (141, 444), (124, 453), (102, 465), (86, 475), (77, 487), (67, 499), (56, 507), (44, 516)]",3,"(62, 90)"
40,"[36.8, 36.8, 36.8, 50.7, 50.7, 58.4, 58.4, 50.7, 50.7, 45.9, 45.9, 38.6, 38.6, 39.1, 39.1, 35.3, 35.3, 31.0, 31.0, 26.3, 26.3, 31.6, 31.6]","[(1228, 558), (1218, 546), (1206, 529), (1191, 515), (1170, 501), (1147, 488), (1125, 474), (1105, 463), (1086, 454), (1069, 444), (1053, 436), (1038, 427), (1025, 421), (1012, 414), (1000, 407), (990, 400), (979, 395), (969, 389), (960, 384), (951, 380), (943, 377), (935, 373), (927, 367), (921, 361)]",3,"(29, 55)"
43,"[45.1, 45.1, 45.1, 47.5, 47.5, 43.7, 43.7, 39.7, 39.7, 37.7, 37.7, 32.6, 32.6, 32.2, 32.2, 27.9, 27.9, 24.8, 24.8, 23.9, 23.9, 19.4, 19.4, 28.8, 28.8, 18.2]","[(1141, 599), (1116, 578), (1092, 560), (1069, 541), (1049, 524), (1030, 510), (1013, 497), (998, 486), (984, 475), (971, 464), (959, 454), (948, 446), (938, 438), (928, 431), (919, 423), (910, 416), (902, 410), (895, 404), (888, 399), (882, 393), (875, 389), (869, 386), (864, 382), (860, 378), (854, 371), (848, 365), (844, 361)]",3,"(31, 65)"
44,"[33.2, 33.2, 33.2, 46.2, 46.2, 46.4]","[(248, 505), (233, 514), (212, 527), (189, 543), (163, 563), (134, 584)]",2,"(30, 38)"
62,"[37.3, 37.3, 37.3, 35.9, 35.9, 40.0, 40.0, 43.9, 43.9, 47.0, 47.0, 49.8, 49.8, 55.1, 55.1, 35.4]","[(361, 399), (353, 405), (341, 411), (332, 417), (320, 423), (307, 431), (294, 440), (280, 449), (265, 460), (248, 470), (230, 482), (210, 495), (189, 510), (165, 524), (138, 544), (111, 565), (95, 588)]",2,"(47, 65)"
